rank,main_id,ra,dec,otype,plx_value,pmra,pmdec,rvz_radvel,rvz_type,sp_type,bmag,vmag,constellation
1,* ups Lib,234.25603706873625,-28.135110461468887,*,15.5267,-16.261,11.711,-24.9,v,K3.5III,4.979,3.589,Lib
2,*  42 Lib,235.0704055109,-23.81808364893,*,8.2082,-16.044,-16.111,-21.8,v,K3-IIICN2,6.29,4.96,Lib
3,*  36 Lib,233.65549239999,-28.047020260619995,*,9.3849,10.755,-32.18,22.11,v,K2/3III,6.437,5.138,Lib
4,* nu. Lib,226.65665213046998,-16.256818608409997,*,5.1772,-36.821,-23.247,-15.69,v,K5-III,6.78,5.2,Lib
5,*  12 Lib,223.58386910138,-24.642204268810005,*,8.1903,-10.786,-28.376,8.8,v,K2/3III,6.612,5.266,Lib
6,* ksi02 Lib,224.19214600515997,-11.409700030229999,*,4.4918,8.851,9.815,14.6,v,K4III,6.946,5.45,Lib
7,* zet04 Lib,233.23008856487002,-16.85284478365,*,4.3321,-12.879,-11.282,1.8,v,B3V,5.355,5.499,Lib
8,HD 135534,229.09587775037,-22.39941430414,*,7.898,-35.031,2.798,-5.3,v,K2III,6.877,5.506,Lib
9,HD 138413,233.15292103366,-19.670458435149996,*,13.6252,-19.475,-38.831,-32.52,v,A2IV,5.7,5.52,Lib
10,* zet01 Lib,232.06420082374,-16.71648542046,*,5.0526,16.299,-33.679,-21.4,v,K4.5III,7.161,5.626,Lib
11,HD 130529,222.32810034521998,-24.251469126499998,*,3.112,-22.596,0.073,-26.3,v,K3III+G,6.972,5.692,Lib
12,* zet03 Lib,232.66833885525,-16.60946242113,*,6.5635,22.636,-1.766,-1.7,v,K0III,6.858,5.806,Lib
13,HD 135051,228.47213692450998,-26.193574089600002,*,3.5792,-13.427,-6.286,-28.3,v,G8/K0II,6.998,5.857,Lib
14,HD 130157,221.80687493926376,-21.324873423929716,*,2.5995,-12.522,1.444,-24.16,v,K4/5III,7.677,6.034,Lib
15,* omi Lib,230.25578898389,-15.548351532910003,*,17.5623,20.404,29.818,8.82,v,F2V,6.513,6.143,Lib
16,*  26 Lib,228.64065780017998,-17.76857144771,*,3.9825,-16.223,-15.26,-25.9,v,B9III,6.156,6.172,Lib
17,HD 138105,232.65104577188998,-20.728552952349997,*,14.2724,5.277,-29.067,-10.9,v,A3V,6.371,6.194,Lib
18,HD 141853,237.90998054918998,-14.13358612059,*,4.454,-22.361,-7.603,-16.0,v,G8III,7.211,6.207,Lib
19,HD 140986,236.68926767852997,-6.120356990670001,*,4.5624,-11.687,0.062,-51.86,v,K0III,7.41,6.245,Lib
20,*  10 Lib,222.96377559740998,-18.35532683924,*,3.0579,-12.774,-2.188,-21.9,v,K0II/III,7.37,6.26,Lib
