rank,constellation,main_id,ra,dec,otype,plx_value,pmra,pmdec,rvz_radvel,rvz_type,sp_type,bmag,vmag,constellation_code
1,Aries,HD  20644,50.08484196336125,29.04845766232917,*,5.0347,-7.017,-16.032,-3.09,v,K3IIIaBa0.5,6.02,4.47,Ari
2,Aries,* eps Ari A,44.80302418005,21.340427382609995,*,9.0296,-15.884,-7.151,-7.9,v,A2IV,5.21,5.16,Ari
3,Aries,* nu. Ari,39.7041351977,21.96140205441,*,12.0933,-4.203,-15.103,8.0,v,A7V,5.608,5.451,Ari
4,Aries,* sig Ari,42.87327685698,15.082067633060001,*,7.0519,29.636,-24.65,17.0,v,B7V,5.411,5.516,Ari
5,Aries,*  62 Ari,50.5495559739,27.60755427903,*,4.692,5.939,-14.386,9.5,v,G5III,6.62,5.52,Ari
6,Aries,* tet Ari,34.53137754778,19.901157608979997,*,7.222,-7.832,-3.654,11.95,v,A1Vn,5.58,5.572,Ari
7,Aries,HD  20149,48.83516564975,30.55668928183,*,6.7649,-15.207,2.559,-11.8,v,A1Vs,5.62,5.61,Ari
8,Aries,* omi Ari,41.13738310626,15.311859869180001,*,5.7867,2.942,-16.236,18.01,v,B9Vn,5.75,5.777,Ari
9,Aries,*  49 Ari,45.47558852883999,26.46235404216999,*,14.6587,-14.323,5.16,-1.41,v,kA2hA6mA7,6.054,5.909,Ari
10,Aries,HD  12479,30.646154213200003,13.47672089669,*,4.6547,-2.056,-3.413,-7.14,v,M2III,7.53,5.94,Ari
11,Aries,HD  13522,33.15641592691,24.16778082147,*,5.7748,43.114,-5.029,-2.22,v,K0,7.34,5.95,Ari
12,Aries,HD  19698,47.66163808722,11.87261848001,*,7.4179,33.202,-23.128,16.02,v,B8V,5.901,5.97,Ari
13,Aries,*  16 Ari,32.80022860206001,25.936942264989998,*,6.394,-8.211,-4.866,-15.1,v,K4III,7.376,5.999,Ari
14,Aries,*  11 Ari,31.705145405559996,25.704556300479997,*,3.9534,18.232,-13.092,-13.8,v,B9IV-Vn,5.98,6.02,Ari
15,Aries,*  65 Ari,51.10881548237,20.803490456380004,*,9.6813,0.883,-9.424,-6.2,v,A1V,6.033,6.061,Ari
16,Aries,HD  12140,29.857847595830012,12.294880311540002,*,10.4648,4.189,-39.666,-12.0,v,A6V,6.277,6.076,Ari
17,Aries,*   1 Ari A,27.535712547319168,22.27533610681611,*,5.3986,-14.896,-7.666,7.02,v,K0III+,7.34,6.2,Ari
18,Aries,HD  12594,30.927543807069995,18.25325535064,*,4.3401,-7.386,-21.382,10.13,v,K4III,7.649,6.214,Ari
19,Aries,*  54 Ari,47.08795462078,18.79505228404,*,4.4906,37.941,-14.278,44.32,v,M0III,7.84,6.25,Ari
20,Aries,HD  16955,40.96351494488001,25.63834723477,*,9.2563,-5.889,5.982,-10.3,v,A3V,6.46,6.39,Ari
1,Taurus,* nu. Tau,60.78907977626709,5.989300702002499,*,26.4293,5.192,-3.873,-3.58,v,A0.5Va,3.924,3.883,Tau
2,Taurus,* mu. Tau,63.88357525019291,8.892355084943333,*,6.4463,19.77,-21.918,16.3,v,B3IV,4.205,4.279,Tau
3,Taurus,* pi. Tau,66.65154769028,14.7137818582,*,8.0403,-8.802,-30.335,31.2689,v,G7IIIFe-0.5,5.67,4.69,Tau
4,Taurus,* o Tau,81.90868401411792,21.936968078639445,*,5.3969,4.104,-7.699,16.5,v,B2.5V,4.719,4.868,Tau
5,Taurus,* 134 Tau,87.38720972302957,12.651322412640832,*,11.5984,-21.764,-18.546,19.71,v,B9V,4.811,4.875,Tau
6,Taurus,*  47 Tau A,63.48493935442001,9.263824264009997,*,7.9622,-9.823,-30.085,-7.98,v,G3IIIFe-0.5,5.84,4.95,Tau
7,Taurus,* s Tau,52.60195333272333,11.336439403954722,*,8.747,-13.134,-16.446,-3.6,v,A0Vn,5.09,5.124,Tau
8,Taurus,HD  26793,63.650969196199995,10.01140720061,*,7.6822,-9.289,-12.989,7.0,v,B9Vn,5.118,5.218,Tau
9,Taurus,* 133 Tau,86.92878099876,13.89959609388,*,3.4599,4.96,-11.489,26.2,v,B2IV-V,5.12,5.29,Tau
10,Taurus,*  49 Eri,69.306981981275,0.9983278096394442,*,7.03,-3.69,-6.457,24.0,v,B8IV,5.193,5.315,Tau
11,Taurus,* chi Tau,65.64559882087,25.62931599318,*,11.2029,20.802,-17.039,13.99,v,B9Vnn,5.344,5.378,Tau
12,Taurus,* 121 Tau,83.86304857929709,24.03959602108222,*,5.0758,11.629,-17.6,23.0,v,B2.5IV,5.29,5.38,Tau
13,Taurus,* 130 Tau,86.85914823325,17.72914224062,*,2.885,-3.0,-4.339,9.0,v,F0III,5.759,5.455,Tau
14,Taurus,*  16 Tau,56.20089556751999,24.28946759207,*,7.3852,19.849,-44.966,16.49,v,B7V,5.42,5.46,Tau
15,Taurus,HD  31539,74.34310357125,17.15366618407,*,6.8706,-13.089,0.046,26.63,v,K1III,6.801,5.49,Tau
16,Taurus,* 116 Tau,81.94003372563,15.874050497600004,*,6.4814,4.458,-21.757,16.0,v,B9.5Vn,5.522,5.515,Tau
17,Taurus,* 135 Tau,87.62045167155,14.305607111699999,*,11.5734,8.707,-37.686,45.191799,v,G9III:,6.53,5.52,Tau
18,Taurus,*  44 Eri,67.13383772729,1.38082529384,*,6.401,20.236,-20.406,18.0,v,B5III/IV,5.429,5.532,Tau
19,Taurus,*  12 Tau,54.96300806981,3.05686614906,*,9.567,-37.243,8.864,24.31,v,K0III,6.483,5.555,Tau
20,Taurus,HD  39004,87.74212581701,27.96786198373,*,8.5233,-1.804,11.729,13.0736,v,G7III:,6.553,5.582,Tau
1,Gemini,* eps Gem,100.98302979662667,25.131127192367778,*,3.7477,-4.853,-11.78,7.77,v,G8Ib,4.39,2.98,Gem
2,Gemini,* phi Gem,118.37420066092001,26.765781406390005,*,18.038,-27.843,-30.555,8.0,v,A5IV,5.06,4.963,Gem
3,Gemini,HD  52960,105.90863284214,10.95181764838,*,5.5106,-2.326,-11.402,19.79,v,K3III,6.512,5.117,Gem
4,Gemini,* pi. Gem,116.87634926849,33.41569686352,*,5.5547,-17.48,-28.334,-13.36,v,M0III,6.74,5.14,Gem
5,Gemini,* d Gem,102.88769326208,21.76114529117,*,7.6158,-5.719,-35.781,34.4,v,A2V,5.264,5.259,Gem
6,Gemini,* c Gem,116.02881237863998,25.784160123099998,*,5.0247,-13.326,-20.079,1.33,v,K4.5III,6.829,5.289,Gem
7,Gemini,*  85 Gem,118.91622686366,19.88396700814,*,6.4022,-15.114,-39.83,12.3,v,A0Vs,5.329,5.365,Gem
8,Gemini,*  28 Gem,101.18941579111001,28.97093898152,*,5.5428,-8.358,-27.667,14.87,v,K4III,6.89,5.44,Gem
9,Gemini,*  70 Gem,114.63693298529002,35.0485498459,*,9.9583,38.492,27.757,-36.33,v,G8III,6.501,5.572,Gem
10,Gemini,*  87 Gem,102.99994238463,23.60172198957,*,7.2748,-39.651,-8.859,33.29,v,K5III,7.142,5.671,Gem
11,Gemini,*  35 Gem,102.60624439025,13.41317871781,*,2.702,-2.2,-6.421,28.91,v,K3III,7.016,5.672,Gem
12,Gemini,*  53 Gem,108.98819635530002,27.897420977140005,*,4.0783,-12.384,-1.967,25.11,v,M1III,7.34,5.71,Gem
13,Gemini,*  37 Gem,103.82777649493,25.37569543139,*,57.4559,-37.595,24.234,-14.925,v,G0V,6.343,5.748,Gem
14,Gemini,HD  52556,105.57289166190002,15.336009823110002,*,5.51,5.594,-24.153,-12.5,v,K1III:,6.9,5.75,Gem
15,Gemini,*  47 Gem,107.84611384969,26.856588994759996,*,8.7883,-19.21,-33.061,42.13,v,A4IV,5.86,5.75,Gem
16,Gemini,*  59 Gem,111.13938800771001,27.637855974489998,*,14.9819,13.722,15.078,-4.5,v,F0:III:,6.11,5.759,Gem
17,Gemini,HD  61885,115.4660263063,13.480456056860001,*,3.9204,-36.611,-23.523,5.8,v,M2III,7.46,5.8,Gem
18,Gemini,HD  52609,105.63869703626,16.67444523645,*,1.9018,-11.716,-7.845,34.1,v,M2III,7.485,5.848,Gem
19,Gemini,*  48 Gem,108.10990093406,24.12859388949,*,9.2055,-17.952,-45.679,13.0,v,F5III-IV,6.21,5.85,Gem
20,Gemini,HD  42049,92.38515413698,22.190265009410002,*,1.7811,-6.534,-3.877,7.8,v,K4III,7.545,5.904,Gem
